Source,Target,Association
custom.sap.hana.calscript.v7.HanaCalcView/CV_SALES_ORDERS,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/WAERK,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
custom.sap.hana.calscript.v7.HanaCalcView/CV_SALES_ORDERS,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/VKORG,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
custom.sap.hana.calscript.v7.HanaCalcView/CV_SALES_ORDERS,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/ORDER_STATUS,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
custom.sap.hana.calscript.v7.HanaCalcView/CV_SALES_ORDERS,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/KWMENG,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
custom.sap.hana.calscript.v7.HanaCalcView/CV_SALES_ORDERS,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/NETWR,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
custom.sap.hana.calscript.v7.HanaCalcView/CV_SALES_ORDERS,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_SALES_ORDERS/MWSBP,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
custom.sap.hana.calscript.v7.HanaCalcView/CV_SALES_ORDERS,custom.sap.hana.calscript.v7.HanaScriptBlock/CV_SALES_ORDERS/order_header,custom.sap.hana.calscript.v7.HanaCalcViewToHanaScriptBlock
custom.sap.hana.calscript.v7.HanaCalcView/CV_SALES_ORDERS,custom.sap.hana.calscript.v7.HanaScriptBlock/CV_SALES_ORDERS/order_items,custom.sap.hana.calscript.v7.HanaCalcViewToHanaScriptBlock
custom.sap.hana.calscript.v7.HanaCalcView/CV_SALES_ORDERS,custom.sap.hana.calscript.v7.HanaScriptBlock/CV_SALES_ORDERS/enriched,custom.sap.hana.calscript.v7.HanaCalcViewToHanaScriptBlock
REF_HANA_SLT_PRD_SD_DS/VBAK,custom.sap.hana.calscript.v7.HanaScriptBlock/CV_SALES_ORDERS/order_header,core.DataSetDataFlow
REF_HANA_SLT_PRD_SD_DS/VBAP,custom.sap.hana.calscript.v7.HanaScriptBlock/CV_SALES_ORDERS/order_header,core.DataSetDataFlow
REF_HANA_SLT_PRD_SD_DS/KNA1,custom.sap.hana.calscript.v7.HanaScriptBlock/CV_SALES_ORDERS/order_header,core.DataSetDataFlow
