core.externalId,core.name,core.description,core.businessDescription,core.businessName,core.reference,custom.PowerBI.v3.FieldType
Simpfy_project_96010eb4/b51059fb8d292d8e5770/Visual4_card/Min_simpfy_projects_vw_project_name,Count of project_name,Min(simpfy_projects_vw.project_name),Count of project_name,Count of project_name,,Measure
Simpfy_project_96010eb4/b51059fb8d292d8e5770/Visual5_donutChart/CountNonNull_simpfy_challenges_vw_challange_id,Count of challanges,CountNonNull(simpfy_challenges_vw.challange_id),Count of challanges,Count of challanges,,Measure
Simpfy_project_96010eb4/b51059fb8d292d8e5770/Visual5_donutChart/simpfy_challenges_vw_challenge_type,Challenge type,simpfy_challenges_vw.challenge_type,Challenge type,Challenge type,,Source Column
Simpfy_project_96010eb4/b51059fb8d292d8e5770/Visual6_clusteredColumnChart/simpfy_projects_vw_project_years,Project years,simpfy_projects_vw.project_years,Project years,Project years,,Source Column
Simpfy_project_96010eb4/ds_simpfy_projects_vw/project_years,project_years,project_years,project_years,project_years,,Source Column
Simpfy_project_96010eb4/b51059fb8d292d8e5770/Visual6_clusteredColumnChart/simpfy_projects_vw_Project_years_total_cost_distinct_project,Project years total cost,simpfy_projects_vw.Project years total cost distinct project,Project years total cost,Project years total cost,,Measure
Simpfy_project_96010eb4/ds_simpfy_projects_vw/Project_years_total_cost_distinct_project,Project years total cost distinct project,Project years total cost distinct project,Project years total cost distinct project,Project years total cost distinct project,,Measure
Simpfy_project_96010eb4/b51059fb8d292d8e5770/Visual6_clusteredColumnChart/simpfy_projects_vw_Project_years_total_cost_distinct_project_curency,Project years total cost distinct project curency,simpfy_projects_vw.Project years total cost distinct project curency,Project years total cost distinct project curency,Project years total cost distinct project curency,,Measure
Simpfy_project_96010eb4/ds_simpfy_projects_vw/Project_years_total_cost_distinct_project_curency,Project years total cost distinct project curency,Project years total cost distinct project curency,Project years total cost distinct project curency,Project years total cost distinct project curency,,Measure
Simpfy_project_96010eb4/b51059fb8d292d8e5770/Visual7_tableEx/simpfy_projects_vw_segment_name,Segment,simpfy_projects_vw.segment_name,Segment,Segment,,Source Column
Simpfy_project_96010eb4/b51059fb8d292d8e5770/Visual7_tableEx/simpfy_projects_vw_project_name,Project,simpfy_projects_vw.project_name,Project,Project,,Source Column
Simpfy_project_96010eb4/b51059fb8d292d8e5770/Visual7_tableEx/simpfy_projects_vw_description,Description,simpfy_projects_vw.description,Description,Description,,Source Column
Simpfy_project_96010eb4/ds_simpfy_projects_vw/description,description,description,description,description,,Source Column
Simpfy_project_96010eb4/b51059fb8d292d8e5770/Visual7_tableEx/simpfy_projects_vw_project_stage,Stage,simpfy_projects_vw.project_stage,Stage,Stage,,Source Column
Simpfy_project_96010eb4/b51059fb8d292d8e5770/Visual7_tableEx/simpfy_projects_vw_key_areas_of_concern,Challenges Affecting Project,simpfy_projects_vw.key_areas_of_concern,Challenges Affecting Project,Challenges Affecting Project,,Source Column
Simpfy_project_96010eb4/ds_simpfy_projects_vw/key_areas_of_concern,key_areas_of_concern,key_areas_of_concern,key_areas_of_concern,key_areas_of_concern,,Source Column
Simpfy_project_96010eb4/b51059fb8d292d8e5770/Visual7_tableEx/simpfy_projects_vw_Stoplight,Stoplight,simpfy_projects_vw.Stoplight,Stoplight,Stoplight,,Measure
Simpfy_project_96010eb4/ds_simpfy_projects_vw/Stoplight,Stoplight,Stoplight,Stoplight,Stoplight,,Measure
Simpfy_project_96010eb4/b51059fb8d292d8e5770/Visual7_tableEx/simpfy_projects_vw_start_year,Start Year,simpfy_projects_vw.start_year,Start Year,Start Year,,Source Column
Simpfy_project_96010eb4/b51059fb8d292d8e5770/Visual7_tableEx/simpfy_projects_vw_end_year,End Year,simpfy_projects_vw.end_year,End Year,End Year,,Source Column
Simpfy_project_96010eb4/ds_simpfy_projects_vw/end_year,end_year,end_year,end_year,end_year,,Source Column
Simpfy_project_96010eb4/b51059fb8d292d8e5770/Visual7_tableEx/LastMilestonesTable_LastMilestoneStatus,Project Status,LastMilestonesTable.LastMilestoneStatus,Project Status,Project Status,,Source Column
Simpfy_project_96010eb4/b51059fb8d292d8e5770/Visual7_tableEx/simpfy_projects_vw_socar_share,"SOCAR Share, %",simpfy_projects_vw.socar_share,"SOCAR Share, %","SOCAR Share, %",,Source Column
Simpfy_project_96010eb4/ds_simpfy_projects_vw/socar_share_with,socar_share with %,socar_share with %,socar_share with %,socar_share with %,,Source Column
Simpfy_project_96010eb4/b51059fb8d292d8e5770/Visual7_tableEx/simpfy_projects_vw_socar_share_distinct_column,"SOCAR Share, USD",simpfy_projects_vw.socar_share_distinct_column,"SOCAR Share, USD","SOCAR Share, USD",,Source Column
Simpfy_project_96010eb4/ds_simpfy_projects_vw/socar_share_with_amount,socar share with amount,socar share with amount,socar share with amount,socar share with amount,,Source Column
Simpfy_project_96010eb4/b51059fb8d292d8e5770/Visual7_tableEx/simpfy_projects_vw_Dynamic_display_unit_tc_c,"Total Cost, USD",simpfy_projects_vw.Dynamic display unit_tc_c,"Total Cost, USD","Total Cost, USD",,Source Column
Simpfy_project_96010eb4/ds_simpfy_projects_vw/Dynamic_display_unit_tc_c,Dynamic display unit_tc_c,Dynamic display unit_tc_c,Dynamic display unit_tc_c,Dynamic display unit_tc_c,,Source Column
Simpfy_project_96010eb4/b51059fb8d292d8e5770/Visual8_card/CountNonNull_simpfy_challenges_vw_challange_id,Count of challange_id,CountNonNull(simpfy_challenges_vw.challange_id),Count of challange_id,Count of challange_id,,Measure
Simpfy_project_96010eb4/b51059fb8d292d8e5770/Visual9_slicer/simpfy_projects_vw_segment_initiative_name,Segment initiative,simpfy_projects_vw.segment_initiative_name,Segment initiative,Segment initiative,,Source Column
Simpfy_project_96010eb4/b51059fb8d292d8e5770/Visual10_slicer/simpfy_projects_vw_corp_initiative_name,Corporate Initiative,simpfy_projects_vw.corp_initiative_name,Corporate Initiative,Corporate Initiative,,Source Column
Simpfy_project_96010eb4/b51059fb8d292d8e5770/Visual11_slicer/simpfy_projects_vw_segment_name,Segment,simpfy_projects_vw.segment_name,Segment,Segment,,Source Column
Simpfy_project_96010eb4/b51059fb8d292d8e5770/Visual12_card/simpfy_projects_vw_Milestone_count_blank_with,Milestones,simpfy_projects_vw.Milestone count blank with -,Milestones,Milestones,,Measure
Simpfy_project_96010eb4/ds_simpfy_projects_vw/Milestone_count_blank_with,Milestone count blank with -,Milestone count blank with -,Milestone count blank with -,Milestone count blank with -,,Measure
Simpfy_project_96010eb4/b51059fb8d292d8e5770/Visual13_card/Min_simpfy_projects_vw_segment_initiative_name,Count of segment_initiative_name,Min(simpfy_projects_vw.segment_initiative_name),Count of segment_initiative_name,Count of segment_initiative_name,,Measure
Simpfy_project_96010eb4/b51059fb8d292d8e5770/Visual14_card/Min_simpfy_projects_vw_project_name,Count of project_name,Min(simpfy_projects_vw.project_name),Count of project_name,Count of project_name,,Measure
